Source;Target;Weight
head;work;1.0
heaven;bodily;1.0
heaven;choice;1.0
heaven;earth;1.0
heaven;evil;1.0
heaven;heaven;1.0
heaven;injustice;1.0
heaven;journey;1.0
heaven;justice;1.0
heaven;life;1.0
heaven;live;1.0
heaven;lot;1.0
heaven;man;1.0
heaven;men;1.0
heaven;nature;1.0
heaven;number;1.0
heaven;other;1.0
heaven;principle;1.0
heaven;qualities;1.0
heaven;reason;1.0
heaven;sort;1.0
heaven;soul;1.0
heaven;spirit;1.0
heaven;state;1.0
heaven;thing;1.0
heaven;time;1.0
heaven;virtue;1.0
heaven;way;1.0
heaven;world;1.0
honour;Thrasymachus;1.0
honour;god;1.0
honour;honour;1.0
honour;injustice;1.0
honour;interest;1.0
honour;justice;1.0
honour;life;1.0
honour;man;1.0
honour;manner;1.0
honour;men;1.0
honour;nature;1.0
honour;other;1.0
honour;power;1.0
honour;soul;1.0
honour;state;1.0
honour;thing;1.0
honour;view;1.0
honour;way;1.0
husbandman;anything;1.0
husbandman;art;1.0
husbandman;bodily;1.0
husbandman;citing;1.0
husbandman;citizen;1.0
husbandman;class;1.0
husbandman;constitutes;1.0
husbandman;eye;1.0
husbandman;gold;1.0
husbandman;govern;1.0
husbandman;guardian;1.0
husbandman;hand;1.0
husbandman;happily;1.0
husbandman;husbandman;1.0
husbandman;individual;1.0
husbandman;injustice;1.0
husbandman;justice;1.0
husbandman;kind;1.0
husbandman;law;1.0
husbandman;life;1.0
husbandman;man;1.0
husbandman;men;1.0
husbandman;nature;1.0
husbandman;number;1.0
husbandman;one;1.0
husbandman;order;1.0
husbandman;other;1.0
husbandman;part;1.0
husbandman;potter;1.0
husbandman;power;1.0
husbandman;principle;1.0
husbandman;protect;1.0
husbandman;reason;1.0
husbandman;ruler;1.0
husbandman;sort;1.0
husbandman;soul;1.0
husbandman;state;1.0
husbandman;thing;1.0
husbandman;time;1.0
husbandman;truth;1.0
husbandman;view;1.0
husbandman;virtue;1.0
husbandman;way;1.0
husbandman;whole;1.0
husbandman;work;1.0
individual;citizen;1.0
individual;class;1.0
individual;guardian;1.0
individual;happily;1.0
individual;individual;1.0
individual;justice;1.0
individual;life;1.0
individual;man;1.0
individual;men;1.0
individual;nature;1.0
individual;ruler;1.0
individual;state;1.0
individual;thing;1.0
individual;way;1.0
individual;work;1.0
